Day,Len,State,EV,Dem,GOP,Ind,Date,,,,,,,,Pollster
 83.5,2,Michigan,16,49,38,,Mar 24,,,,,,,,SurveyUSA-2
 80.5,4,Michigan,16,47,37,,Mar 22,,,,,,,,EPIC-MRA-4
 62.0,3,Michigan,16,52,36,,Mar 03,,,,,,,,Marist Coll.-3
 46.0,29,Michigan,16,42,41,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Michigan,16,54,45,,Jan 01,,,,,,,,Election 2012-1
262.0,5,Minnesota,10,46,39,06,Sep 20,,,,,,,,SurveyUSA-5
257.0,3,Minnesota,10,44,38,06,Sep 14,,,,,,,,Mason Dixon-3
233.5,24,Minnesota,10,41,34,15,Sep 01,,,,,,,,SurveyMonkey-24
137.0,31,Minnesota,10,45,35,,May 31,,,,,,,,Morning Consult-31
117.0,3,Minnesota,10,48,35,,Apr 27,,,,,,,,Star Tribune-3
 46.0,29,Minnesota,10,44,39,,Feb 29,,,,,,,,Morning Consult-29
 19.0,3,Minnesota,10,43,38,,Jan 20,,,,,,,,Mason-Dixon-3
  1.0,1,Minnesota,10,53,45,,Jan 01,,,,,,,,Election 2012-1
233.5,24,Mississippi,6,43,46,04,Sep 01,,,,,,,,SurveyMonkey-24
137.0,31,Mississippi,6,33,51,,May 31,,,,,,,,Morning Consult-31
 89.0,3,Mississippi,6,43,46,,Mar 30,,,,,,,,Mason-Dixon-3
 46.0,29,Mississippi,6,32,54,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Mississippi,6,44,56,,Jan 01,,,,,,,,Election 2012-1
284.0,3,Missouri,10,41,46,05,Oct 11,,,,,,,,Monmouth U.-3
266.0,3,Missouri,10,37,46,05,Sep 23,,,,,,,,YouGov-3
255.0,5,Missouri,10,34,47,07,Sep 13,,,,,,,,Emerson Coll.-5
239.5,2,Missouri,10,41,47,,Aug 27,,,,,,,,PPP-2
233.5,4,Missouri,10,43,44,08,Aug 22,,,,,,,,Monmouth U.-4
233.5,24,Missouri,10,34,43,14,Sep 01,,,,,,,,SurveyMonkey-24
221.5,2,Missouri,10,42,45,,Aug 09,,,,,,,,PPP-2
205.5,2,Missouri,10,41,40,09,Jul 24,,,,,,,,Mason Dixon-2
204.0,5,Missouri,10,37,47,08,Jul 24,,,,,,,,SurveyUSA-5
193.0,1,Missouri,10,36,46,07,Jul 11,,,,,,,,PPP-1
137.0,31,Missouri,10,37,45,,May 31,,,,,,,,Morning Consult-31
 66.5,8,Missouri,10,38,43,,Mar 10,,,,,,,,Fort Hays State U.-8
 46.0,29,Missouri,10,38,45,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Missouri,10,44,54,,Jan 01,,,,,,,,Election 2012-1
285.0,3,Montana,3,36,46,11,Oct 12,,,,,,,,Mason Dixon-3
233.5,24,Montana,3,31,44,14,Sep 01,,,,,,,,SurveyMonkey-24
137.0,31,Montana,3,36,45,,May 31,,,,,,,,Morning Consult-31
 46.0,29,Montana,3,35,47,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Montana,3,41,55,,Jan 01,,,,,,,,Election 2012-1
270.0,3,Nebraska,5,29,56,07,Sep 27,,,,,,,,Emerson Coll.-3
233.5,24,Nebraska,5,32,42,15,Sep 01,,,,,,,,SurveyMonkey-24
137.0,31,Nebraska,5,35,48,,May 31,,,,,,,,Morning Consult-31
 46.0,29,Nebraska,5,35,48,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Nebraska,5,38,61,,Jan 01,,,,,,,,Election 2012-1
287.0,3,Nevada,6,46,40,04,Oct 14,,,,,,,,YouGov-3
284.5,2,Nevada,6,47,43,,Oct 11,,,,,,,,PPP-2
277.0,3,Nevada,6,43,43,09,Oct 04,,,,,,,,Emerson Coll.-3
273.5,6,Nevada,6,44,41,08,Oct 02,,,,,,,,Repass Research/Hart-6
272.0,3,Nevada,6,44,38,07,Sep 29,,,,,,,,Suffolk U.-3
272.0,3,Nevada,6,45,44,05,Sep 29,,,,,,,,Bendixen-3
263.0,3,Nevada,6,40,43,08,Sep 20,,,,,,,,Fox News-3
261.0,3,Nevada,6,39,42,11,Sep 18,,,,,,,,Rasmussen-3
256.0,3,Nevada,6,42,44,08,Sep 13,,,,,,,,Monmouth U.-3
251.0,3,Nevada,6,41,42,08,Sep 08,,,,,,,,Marist Coll.-3
250.5,2,Nevada,6,45,42,,Sep 07,,,,,,,,PPP-2
233.5,24,Nevada,6,40,37,12,Sep 01,,,,,,,,SurveyMonkey-24
229.0,3,Nevada,6,44,42,05,Aug 17,,,,,,,,Suffolk U.-3
216.5,4,Nevada,6,43,41,04,Aug 05,,,,,,,,YouGov-4
212.0,3,Nevada,6,41,40,,Jul 31,,,,,,,,Rasmussen-3
205.0,3,Nevada,6,38,43,,Jul 24,,,,,,,,Rasmussen-3
